39
19
5	3	2	7	11	14	0	17	18	19	21	23	24	25	27	30	31	32	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	0	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	12	12	12	13	12	12	12	12	12	12	12	12	12	12	12	12	12	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	15	15	15	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	28	28	28	29	28	28	28	28	28	28	28	28	28	28	28	28	28	28
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	33	33	33	34	33	33	33	33	33	33	33	33	33	33	33	33	33	33
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0


